VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_P;d;L148;82;238;14.8;0.655;44;0.804;0.03;0.431;0.025;0.336;0.009;44;244;0.82
CBD_P;a;L149;99;272;14.8;0.636;46;0.765;0.009;0.355;0.007;0.361;0.003;46;274;0.832
CBD_V;b;L150;86;235;14.7;0.634;42;0.772;0;0.377;0;0.366;0;42;235;0.821
CBD_V;c;L151;87;243;14.7;0.642;44;0.784;0.01;0.397;0.008;0.355;0.003;44;245;0.82
CBD_V;d;L152;82;236;14.7;0.653;42;0.794;0.015;0.407;0.013;0.343;0.004;42;239;0.824
CBD_V;a;L153;84;236;15;0.644;42;0.784;0;0.392;0;0.356;0;42;236;0.822
CBD_C;b;L154;67;189;15.3;0.646;35;0.792;0.061;0.414;0.053;0.337;0.017;35;199;0.824
CBD_C;c;L155;76;212;15.3;0.642;35;0.768;0.006;0.354;0.005;0.357;0.001;35;213;0.836
CBD_C;d;L156;70;194;15.7;0.639;39;0.8;0.013;0.446;0.01;0.357;0.004;39;196;0.801
CBD_C;a;L157;75;201;15.7;0.627;31;0.741;-0.069;0.306;-0.055;0.395;-0.022;31;190;0.837
CBD_P;b;L158;79;209;15;0.622;47;0.802;0.012;0.477;0.01;0.374;0.004;47;211;0.777
CBD_P;c;L159;77;222;15;0.653;40;0.797;0.016;0.414;0.014;0.342;0.005;40;225;0.822
CBD_P;d;L160;83;251;15.2;0.669;16;0.715;0.021;0.138;0.02;0.324;0.007;16;256;0.938
CBD_P;a;L161;76;236;15.3;0.678;44;0.833;0.015;0.482;0.013;0.318;0.004;44;239;0.816
CBD_V;b;L162;82;229;15.3;0.642;47;0.808;0.022;0.463;0.017;0.352;0.006;47;233;0.798
CBD_V;c;L163;76;223;15.2;0.659;34;0.778;0;0.348;0;0.341;0;34;223;0.848
CBD_V;d;L164;78;237;15.5;0.671;47;0.837;0.04;0.504;0.034;0.318;0.011;47;245;0.808
CBD_V;a;L165;73;200;15.5;0.635;28;0.738;0.034;0.283;0.03;0.354;0.011;28;206;0.864
CBD_C;b;L166;73;215;15.7;0.66;42;0.821;0.049;0.472;0.042;0.326;0.014;42;224;0.813
CBD_C;c;L167;77;213;15.9;0.638;40;0.786;0.011;0.408;0.009;0.358;0.004;40;215;0.814
